#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-9.39E-05,-2.312284064,-4.494630185
-9.39E-05,-2.312284064,-4.494630185
-9.39E-05,-2.312284064,-4.494630185
-9.39E-05,-2.352570468,-4.494630185
-9.38E-05,-2.352570468,-4.494630185
-9.38E-05,-2.352570468,-4.494630185
-9.38E-05,-2.392856871,-4.534608886
-9.38E-05,-2.392856871,-4.534608886
-9.37E-05,-2.433143275,-4.534608886
-9.37E-05,-2.433143275,-4.494630185
-9.37E-05,-2.433143275,-4.534608886
-9.37E-05,-2.473429679,-4.534608886
-9.36E-05,-2.473429679,-4.534608886
-9.36E-05,-2.473429679,-4.534608886
-9.36E-05,-2.473429679,-4.534608886
-9.36E-05,-2.513716083,-4.534608886
-9.35E-05,-2.554002487,-4.534608886
-9.35E-05,-2.554002487,-4.534608886
-9.35E-05,-2.594288891,-4.574587588
-9.35E-05,-2.594288891,-4.574587588
-9.34E-05,-2.594288891,-4.574587588
-9.34E-05,-2.634575295,-4.574587588
-9.34E-05,-2.634575295,-4.574587588
-9.34E-05,-2.634575295,-4.574587588
-9.33E-05,-2.674861699,-4.574587588
-9.33E-05,-2.674861699,-4.574587588
-9.33E-05,-2.674861699,-4.614566289
-9.33E-05,-2.715148103,-4.574587588
-9.32E-05,-2.755434507,-4.574587588
-9.32E-05,-2.755434507,-4.574587588
-9.32E-05,-2.715148103,-4.614566289
-9.32E-05,-2.755434507,-4.614566289
-9.31E-05,-2.755434507,-4.574587588
-9.31E-05,-2.79572091,-4.574587588
-9.31E-05,-2.79572091,-4.614566289
-9.31E-05,-2.79572091,-4.614566289
-9.30E-05,-2.836007314,-4.614566289
-9.30E-05,-2.876293718,-4.574587588
-9.30E-05,-2.876293718,-4.614566289
-9.30E-05,-2.876293718,-4.614566289
-9.29E-05,-2.916580122,-4.614566289
-9.29E-05,-2.916580122,-4.614566289
-9.29E-05,-2.916580122,-4.654544991
-9.29E-05,-2.956866526,-4.614566289
-9.28E-05,-2.956866526,-4.654544991
-9.28E-05,-2.99715293,-4.654544991
-9.28E-05,-2.99715293,-4.654544991
-9.28E-05,-2.99715293,-4.654544991
-9.27E-05,-3.037439334,-4.654544991
-9.27E-05,-3.077725738,-4.654544991
-9.27E-05,-3.077725738,-4.654544991
-9.27E-05,-3.118012142,-4.694523692
-9.26E-05,-3.118012142,-4.654544991
-9.26E-05,-3.118012142,-4.654544991
-9.26E-05,-3.118012142,-4.694523692
-9.26E-05,-3.158298545,-4.694523692
-9.25E-05,-3.198584949,-4.694523692
-9.25E-05,-3.198584949,-4.694523692
-9.25E-05,-3.198584949,-4.694523692
-9.25E-05,-3.198584949,-4.694523692
-9.24E-05,-3.238871353,-4.694523692
-9.24E-05,-3.238871353,-4.694523692
